RET_M1,CUSTOMER_ID,MES_BGI,MES_CLIENTE,YEAR_BGI,YEAR_CLIENTE,MES_COSECHA,YEAR_COSECHA,CLTE_COSECHA,ORD_ORDENES_TOTALES,ORD_ORDENES_COMPLETADAS,ORD_ORDENES_COMPLETADAS_A_TIEMPO,ORD_ORDENES_COMPLETADAS_CON_RETRASO,ORD_ORDENES_CANCELADAS,ORD_ORDENES_OTROS,MNT_TOTAL_GMV,MNT_TOTAL_DESCUENTO,MNT_TOTAL_COSTO_ENVIO,MNT_TOTAL_COSTO_SERVICIO,MNT_TOTAL_PROPINA,MNT_PROM_GMV,MNT_PROM_DESCUENTO,MNT_PROM_COSTO_ENVIO,MNT_PROM_PROM_SERVICIO,MNT_PROM_PROPINA,MDP_TOT_ORDENES_CASH,MDP_TOT_ORDENES_TDC,MDP_TOT_ORDENES_PAGO_DIGITAL,MDP_TOT_ORDENES_PAGO_DIGITAL_RAPPI,MDP_TOT_TARJETA_DEBITO,MDP_TOT_TDC_NACIONAL,MDP_TOT_TDC_INTERNACIONAL,EXP_TIEMPO_ESPERA_EFECTIVO_M,EXP_TIEMPO_ESPERA_PROMETIDO_M,EXP_KPI_TIEMPO_ESPERA,EXP_ORDEN_CON_RECLAMO,EXP_ORDEN_SIN_RECLAMO,EXP_ORDENES_WEB,EXP_ORDENES_ANDROID,EXP_ORDENES_IOS
0,1912502937,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,48385,36600,8500,4835,0,48385,36600,8500,4835,0,1,0,0,0,0,0,0,58,127,0.4566929134,0,1,0,1,0
0,1912509595,9,8,2021,2021,8,2021,1,2,2,2,0,0,0,79744,54200,17000,8944,0,39872,27100,8500,4472,0,2,0,0,0,0,0,0,34,86,0.3953488372,1,1,0,2,0
0,1912509888,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,40915,26600,8500,4335,0,40915,26600,8500,4335,0,1,0,0,0,0,0,0,44,119,0.3697478992,0,1,0,1,0
0,1912510364,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,37882,26500,8500,4272,0,37882,26500,8500,4272,0,1,0,0,0,0,0,0,34,115,0.2956521739,0,1,0,1,0
0,1912510525,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,37882,26500,8500,4272,0,37882,26500,8500,4272,0,1,0,0,0,0,0,0,38,87,0.4367816092,0,1,0,1,0
0,1912512502,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,39026.6,23500,8500,4835,0,39026.6,23500,8500,4835,0,1,0,0,0,0,0,0,79,99,0.797979798,0,1,0,1,0
0,1912517128,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,39685,27500,8500,4335,0,39685,27500,8500,4335,0,1,0,0,0,0,0,0,39,80,0.4875,0,1,0,1,0
0,1912529055,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,59185,45350,8500,4735,0,59185,45350,8500,4735,0,1,0,0,0,0,0,0,29,76,0.3815789474,0,1,0,1,0
0,1912530209,9,8,2021,2021,8,2021,1,2,2,2,0,0,0,66786,47000,17000,22070,0,33393,23500,8500,11035,0,2,0,0,0,0,0,0,56,91,0.6153846154,1,1,0,2,0
0,1912530551,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,59485,45350,8500,5035,0,59485,45350,8500,5035,0,1,0,0,0,0,0,0,41,96,0.4270833333,0,1,0,1,0
0,1912531377,9,8,2021,2021,8,2021,1,2,2,2,0,0,0,89820,59000,17000,10320,0,44910,29500,8500,5160,0,2,0,0,0,0,0,0,30,112,0.2678571429,1,1,0,2,0
0,1912531924,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,42690,27500,8500,10672,0,42690,27500,8500,10672,0,1,0,0,0,0,0,0,63,82,0.7682926829,0,1,0,1,0
0,1912536892,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,48250,29500,8500,10835,0,48250,29500,8500,10835,0,1,0,0,0,0,0,0,73,82,0.8902439024,0,1,0,1,0
0,1912538493,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,44785,29500,8500,5035,0,44785,29500,8500,5035,0,1,0,0,0,0,0,0,34,87,0.3908045977,0,1,0,1,0
0,1912539233,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,44785,29500,8500,5035,0,44785,29500,8500,5035,0,1,0,0,0,0,0,0,36,127,0.2834645669,0,1,0,1,0
0,1912539343,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,44485,29500,8500,4735,0,44485,29500,8500,4735,0,1,0,0,0,0,0,0,51,116,0.4396551724,0,1,0,1,0
0,1912540698,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,44435,29500,8500,4735,0,44435,29500,8500,4735,0,1,0,0,0,0,0,0,31,97,0.3195876289,0,1,0,1,0
0,1912541268,9,8,2021,2021,8,2021,1,2,2,2,0,0,0,70670,47000,17000,9670,0,35335,23500,8500,4835,0,2,0,0,0,0,0,0,21,110,0.1909090909,1,1,0,2,0
0,1912541440,9,8,2021,2021,8,2021,1,2,2,2,0,0,0,89170,59000,17000,9670,0,44585,29500,8500,4835,0,2,0,0,0,0,0,0,42,100,0.42,1,1,0,2,0
0,1912544328,9,8,2021,2021,8,2021,1,3,3,3,0,0,0,126363.6,70500,25500,31905,0,42121.2,23500,8500,10635,0,3,0,0,0,0,0,0,407,470,0.8659574468,2,1,0,3,0
0,1912546875,9,8,2021,2021,8,2021,1,3,0,0,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,98,NULL,2,1,0,3,0
0,1912547416,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,43472,29300,8500,4672,0,43472,29300,8500,4672,0,1,0,0,0,0,0,0,31,118,0.2627118644,0,1,0,1,0
0,1912547826,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,44547,29500,8500,4797,0,44547,29500,8500,4797,0,1,0,0,0,0,0,0,16,131,0.1221374046,0,1,0,1,0
0,1912554563,9,8,2021,2021,8,2021,1,3,0,0,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,82,NULL,2,1,0,3,0
0,1912556452,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,44347,29500,8500,4597,0,44347,29500,8500,4597,0,1,0,0,0,0,0,0,32,118,0.2711864407,0,1,0,1,0
0,1912557984,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,50560,34900,8500,5160,0,50560,34900,8500,5160,0,1,0,0,0,0,0,0,32,129,0.2480620155,0,1,0,1,0
0,1912572631,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,44500,8500,8500,13749,2000,44500,8500,8500,13749,2000,1,0,0,0,0,0,0,66,74,0.8918918919,0,1,0,1,0
0,1912587333,10,9,2021,2021,9,2021,1,1,1,1,0,0,0,81023,68000,5200,3484,0,81023,68000,5200,3484,0,1,0,0,0,0,0,0,41,104,0.3942307692,0,1,0,1,0
0,1912587570,9,8,2021,2021,8,2021,1,1,1,0,1,0,0,30555.86,350,6100,5051,2000,30555.86,350,6100,5051,2000,1,0,0,0,0,0,0,63,55,1.145454545,0,1,0,1,0
1,1912603199,9,8,2021,2021,8,2021,1,6,6,6,0,0,0,276716,53200,45700,24102,871,46119.33333,8866.666667,7616.666667,4017,145.1666667,0,6,0,0,0,0,6,95,155,0.6415592257,2,4,0,6,0
0,1912637990,9,8,2021,2021,8,2021,1,1,1,0,1,0,0,19190,0,7200,3269,0,19190,0,7200,3269,0,0,1,0,0,0,0,1,89,40,2.225,0,1,0,1,0
1,1912682901,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,54950,8500,8500,3409,2000,54950,8500,8500,3409,2000,1,0,0,0,0,0,0,35,82,0.4268292683,0,1,0,1,0
0,1912691611,9,8,2021,2021,8,2021,1,2,2,2,0,0,0,116580,17000,17000,8580,4000,58290,8500,8500,4290,2000,2,0,0,0,0,0,0,20,124,0.1612903226,1,1,0,0,2
0,1912714325,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,48400,0,7500,8910,2000,48400,0,7500,8910,2000,1,0,0,0,0,0,0,284,413,0.6876513317,0,1,0,0,1
1,1912746901,10,9,2021,2021,9,2021,1,1,1,1,0,0,0,93291,0,5200,3390,2000,93291,0,5200,3390,2000,0,0,1,0,0,0,0,19,108,0.1759259259,0,1,0,1,0
0,1912772175,9,8,2021,2021,8,2021,1,5,5,0,0,0,0,2178260,18500,37500,48265,20000,435652,3700,7500,9653,4000,0,5,0,0,0,0,5,NULL,124,NULL,4,1,0,5,0
0,1912776422,10,9,2021,2021,9,2021,1,3,3,3,0,0,0,101730,66300,25800,8715,3000,33910,22100,8600,2905,1000,3,0,0,0,0,0,0,40,48,0.8333333333,2,1,0,3,0
0,1912787486,1,12,2022,2021,12,2021,1,1,1,1,0,0,0,48380,0,4600,4355,0,48380,0,4600,4355,0,0,1,0,0,0,0,1,26,116,0.224137931,0,1,0,1,0
0,1912793417,12,11,2021,2021,11,2021,1,1,1,0,1,0,0,36795,0,9000,3087,2000,36795,0,9000,3087,2000,1,0,0,0,0,0,0,43,40,1.075,0,1,0,1,0
0,1912813248,10,9,2021,2021,9,2021,1,6,5,5,0,1,0,334728,63350,37500,47695,28000,66945.6,12670,7500,9539,5600,0,5,0,0,0,0,5,58,106,0.4987398346,2,4,0,0,6
0,1912815964,10,9,2021,2021,9,2021,1,1,1,1,0,0,0,60652.5,0,4600,2909,2000,60652.5,0,4600,2909,2000,1,0,0,0,0,0,0,19,49,0.387755102,0,1,0,1,0
0,1912840153,10,9,2021,2021,9,2021,1,3,3,0,3,0,0,154140,40500,25500,51453,6000,51380,13500,8500,17151,2000,3,0,0,0,0,0,0,85,78,1.08974359,2,1,0,3,0
0,1912898015,1,12,2022,2021,12,2021,1,1,1,1,0,0,0,49163.16,0,6600,14181,0,49163.16,0,6600,14181,0,1,0,0,0,0,0,0,847,928,0.9127155172,0,1,0,1,0
0,1912919737,10,9,2021,2021,9,2021,1,3,3,3,0,0,0,254400,0,31200,21267,6000,84800,0,10400,7089,2000,0,3,0,0,0,0,3,37,89,0.4157303371,2,1,0,0,3
